GiaMoCua,KhoiLuong,BienDong,ChiSoRSI,TangGia
78.0,38154.0,4.58,20.5,1
30.6,35105.0,1.75,55.4,0
16.9,8541.0,4.93,56.8,0
36.1,40976.0,1.13,58.3,1
24.5,11998.0,1.41,34.5,1
93.7,11967.0,1.33,62.8,1
82.7,27312.0,4.52,25.5,1
67.0,30054.0,3.44,32.0,1
88.4,29424.0,1.18,72.6,0
82.3,5483.0,2.48,64.3,0
26.8,43996.0,3.27,20.8,1
90.3,14014.0,0.88,34.9,1
58.5,7346.0,4.47,32.9,1
82.7,44549.0,4.12,36.2,1
90.6,47827.0,2.77,34.9,1
38.6,43244.0,4.85,23.8,1
19.9,40666.0,2.38,47.5,0
30.5,33107.0,4.93,64.0,0
48.4,27992.0,3.51,56.4,0
83.6,5262.0,3.36,60.4,0
87.5,21014.0,1.25,24.9,1
10.6,19262.0,4.47,77.1,0
56.0,13728.0,2.42,70.3,1
47.6,36448.0,1.23,68.3,1
30.0,25298.0,0.56,69.4,1
20.8,4971.0,3.02,76.0,0
40.4,11789.0,2.87,52.7,0
94.9,34480.0,3.74,32.0,1
39.1,4730.0,4.51,57.0,1
56.7,42709.0,0.86,64.6,0
73.3,25262.0,3.79,64.3,0
42.7,24549.0,1.34,51.3,1
97.5,30028.0,4.36,24.1,1
96.6,41409.0,4.19,42.3,1
32.7,18043.0,2.93,75.2,0
54.8,34223.0,3.7,55.1,1
37.1,28721.0,1.91,52.3,0
35.6,14084.0,2.62,36.1,0
13.3,44053.0,4.2,42.1,1
64.9,40074.0,2.57,73.7,1
55.2,33264.0,2.11,60.0,1
14.6,42679.0,2.72,67.2,0
35.1,43497.0,4.23,47.3,1
91.7,35710.0,2.01,57.8,1
31.6,42014.0,1.28,34.9,1
23.0,35176.0,3.7,62.3,0
54.1,34327.0,4.22,45.7,1
98.7,31312.0,0.95,46.6,1
31.8,37883.0,1.58,59.0,1
70.5,8772.0,1.14,76.2,0
78.5,44163.0,2.07,23.8,1
31.4,43720.0,2.53,69.5,0
75.5,2433.0,3.87,37.5,1
43.1,41465.0,3.43,46.6,1
66.9,7315.0,3.29,21.3,1
67.0,17421.0,2.09,38.1,1
58.2,37432.0,4.29,50.2,1
18.1,8877.0,2.62,23.4,1
85.2,41080.0,4.91,49.5,1
38.9,41775.0,3.35,75.6,1
26.8,25866.0,1.07,26.3,1
13.7,1313.0,3.54,65.9,0
63.2,15065.0,1.96,44.6,1
71.0,31229.0,3.59,59.3,1
11.5,49078.0,0.81,35.6,0
56.1,31959.0,1.29,29.6,1
30.4,13730.0,4.35,29.6,1
68.1,32066.0,1.52,24.2,1
25.7,27459.0,4.27,31.1,0
72.2,39212.0,1.76,59.9,1
44.8,6242.0,3.39,72.9,0
94.3,38290.0,3.62,68.8,1
22.4,27522.0,2.81,61.1,1
40.7,48187.0,1.87,26.6,1
20.2,17752.0,1.46,37.4,1
93.2,31998.0,0.65,38.6,1
89.0,46669.0,1.87,35.0,1
33.2,6023.0,3.44,50.9,1
69.4,46924.0,4.72,52.1,1
83.5,34706.0,4.42,41.4,1
60.0,4324.0,3.95,41.2,0
57.7,15747.0,4.05,69.7,0
31.8,35700.0,3.49,67.4,0
18.4,4300.0,1.67,38.5,0
90.7,29526.0,4.58,74.8,0
91.0,17948.0,3.52,77.2,0
67.0,31425.0,3.02,39.6,1
40.5,3241.0,1.0,41.3,1
41.4,43705.0,2.51,50.3,1
75.3,48701.0,2.57,76.5,1
90.7,48475.0,4.39,72.6,1
89.8,37733.0,2.96,26.2,1
80.2,7374.0,2.21,43.6,1
67.8,38155.0,4.9,53.2,0
17.6,2205.0,1.0,50.2,1
24.5,2084.0,2.4,31.6,1
90.9,16857.0,0.69,71.5,0
64.6,24944.0,3.83,60.6,1
10.8,38750.0,4.63,70.3,0
19.1,34481.0,1.76,71.5,0
69.7,22849.0,4.36,64.9,0
10.5,14408.0,1.81,46.4,1
24.5,49859.0,4.6,56.6,1
59.4,21883.0,3.89,29.6,1
72.3,23118.0,4.12,60.4,0
68.7,9018.0,0.58,30.8,1
30.2,39946.0,4.83,61.6,1
74.1,34990.0,3.77,33.8,1
31.4,11818.0,1.87,27.1,1
39.3,5037.0,4.23,29.9,1
77.2,34344.0,1.77,20.1,1
68.5,33071.0,4.43,63.1,0
86.4,14390.0,1.01,63.9,1
69.2,47592.0,3.67,50.9,1
61.1,8402.0,2.93,29.7,1
18.4,22184.0,0.93,25.0,1
43.1,47237.0,1.59,21.1,1
33.9,21567.0,0.56,29.9,1
32.0,32288.0,2.61,73.5,0
97.6,20482.0,1.86,34.5,1
45.4,14437.0,3.19,41.3,1
90.3,49215.0,1.84,26.3,1
66.8,21057.0,1.85,33.3,1
81.5,44811.0,3.84,51.2,1
55.2,12268.0,0.72,56.5,0
61.9,11442.0,4.56,34.7,1
54.3,2526.0,4.34,23.5,0
27.6,32932.0,3.51,43.5,1
75.0,19058.0,3.17,34.1,1
35.3,43354.0,4.52,33.2,1
12.2,24187.0,1.33,77.6,0
68.1,48441.0,0.86,57.0,1
25.9,10091.0,1.58,53.4,1
94.6,43563.0,4.08,44.9,1
95.9,39053.0,0.66,45.7,1
92.3,38775.0,3.12,52.5,0
43.3,42394.0,4.98,61.8,1
11.4,38290.0,4.35,62.1,1
93.5,31685.0,2.85,30.3,1
48.5,7431.0,0.79,50.0,1
97.0,2594.0,4.24,44.7,1
96.7,46122.0,3.2,72.2,0
86.8,31216.0,1.02,57.9,0
36.5,40030.0,0.92,52.0,1
44.7,24595.0,4.59,26.9,1
86.6,6748.0,3.51,56.3,0
38.5,7134.0,4.23,27.0,1
25.3,34593.0,4.46,40.2,1
60.1,22085.0,3.07,28.6,1
94.3,10826.0,2.83,61.5,0
72.6,25088.0,2.44,32.4,1
61.3,4146.0,1.93,43.5,1
18.7,29517.0,2.46,73.7,0
65.4,14181.0,3.98,32.3,1
99.1,40080.0,3.21,50.5,0
22.6,16208.0,4.52,45.2,1
56.6,23306.0,2.5,21.1,1
89.0,1569.0,3.23,67.6,0
76.7,4550.0,3.34,24.1,1
72.7,20232.0,3.16,48.5,0
73.2,24517.0,3.66,53.6,1
42.4,30401.0,1.57,57.7,0
36.4,15291.0,2.81,61.3,0
82.8,35054.0,0.97,35.2,1
82.9,43146.0,2.23,20.6,1
88.0,39213.0,2.69,63.4,1
92.2,2941.0,3.44,52.1,0
56.0,24545.0,4.78,70.2,0
55.1,6142.0,3.2,69.3,0
81.8,12860.0,3.85,70.6,0
68.5,49346.0,2.78,49.1,1
73.2,7982.0,3.35,40.0,1
81.6,25446.0,0.82,67.5,0
90.1,31290.0,1.64,47.1,1
40.4,35421.0,2.13,31.0,1
43.8,28423.0,2.63,71.3,1
18.5,1479.0,0.71,73.0,1
62.0,16997.0,1.13,48.0,1
13.2,26368.0,1.75,24.5,1
51.9,5305.0,4.87,43.3,0
58.8,18181.0,1.99,68.2,0
35.8,2627.0,2.67,74.1,0
63.2,4850.0,1.38,32.2,1
12.7,20449.0,3.25,24.0,1
13.4,7503.0,1.76,72.6,1
84.0,28810.0,1.43,43.4,1
42.4,34784.0,2.82,52.5,0
21.4,40229.0,0.52,78.1,0
57.0,10807.0,0.53,24.0,1
79.3,9207.0,1.49,58.9,1
29.4,6124.0,0.67,24.4,1
66.1,32185.0,0.99,42.5,1
17.7,35617.0,2.02,68.2,0
14.7,2548.0,4.11,46.0,1
57.8,46874.0,3.07,79.8,0
58.7,3547.0,2.81,53.5,0
67.4,27524.0,1.82,39.3,1
75.3,35744.0,4.69,33.2,1
97.8,43677.0,2.29,41.0,1
56.5,35990.0,0.89,42.4,1
39.1,40285.0,3.28,24.1,1
81.6,17633.0,1.01,42.2,0
34.4,40926.0,2.05,47.9,1
49.5,4926.0,2.78,63.4,0
17.1,44846.0,4.43,59.4,0
12.3,27832.0,2.72,62.5,1
96.6,41048.0,3.66,20.5,1
85.2,23164.0,4.97,33.1,0
72.6,32535.0,1.09,59.7,1
46.8,26794.0,1.74,49.0,1
25.6,36848.0,2.28,20.3,1
24.1,5000.0,2.4,68.3,0
32.5,3957.0,2.35,66.4,0
59.4,13108.0,4.58,52.9,0
74.3,8818.0,3.71,24.0,0
69.4,43717.0,3.24,66.0,0
35.2,11741.0,1.89,55.0,0
95.9,48817.0,4.21,66.9,0
76.4,17508.0,4.8,65.1,0
59.9,9924.0,4.2,68.2,1
65.1,39695.0,0.51,51.1,0
47.8,33277.0,3.36,28.4,1
32.3,25412.0,0.73,60.3,0
42.0,28213.0,1.66,57.2,1
78.2,36241.0,0.77,64.5,1
11.3,12194.0,3.22,30.2,1
20.4,49820.0,3.59,31.7,1
14.1,48765.0,1.02,73.4,1
13.7,32866.0,2.23,65.0,1
87.0,10778.0,2.55,74.5,0
73.3,34331.0,2.16,65.5,0
52.7,4538.0,1.04,55.8,0
18.8,2502.0,2.39,59.2,1
54.2,13626.0,3.88,73.3,0
52.6,23669.0,0.82,54.7,1
25.6,43545.0,0.86,57.9,0
49.0,36631.0,2.1,29.4,1
45.9,37393.0,4.74,48.4,1
65.4,21849.0,3.51,63.0,0
67.2,17951.0,3.55,36.3,1
14.1,19181.0,2.13,32.1,1
43.7,49395.0,3.17,38.8,1
66.3,2965.0,0.55,34.5,1
55.3,43485.0,3.36,32.9,1
87.1,29355.0,4.61,45.5,1
69.3,22492.0,3.26,74.5,0
24.7,36538.0,4.43,50.4,0
16.4,24847.0,3.76,31.3,1
67.8,43798.0,1.04,24.6,1
12.4,45134.0,4.56,61.8,1
62.7,21664.0,0.8,43.0,1
94.6,14565.0,2.9,69.3,0
61.8,30025.0,1.14,59.6,1
44.9,45706.0,0.55,67.8,1
67.9,11322.0,2.4,36.3,1
51.2,31525.0,1.83,61.5,0
59.1,31946.0,2.69,35.8,1
94.7,36923.0,3.1,76.3,0
44.7,7447.0,0.7,58.2,0
96.5,36075.0,1.05,39.5,1
91.5,45543.0,3.01,36.2,1
27.6,9804.0,2.04,31.5,1
16.2,12640.0,3.78,61.7,1
19.1,48598.0,3.44,33.1,1
11.6,9868.0,4.31,55.7,0
18.5,42865.0,3.62,35.9,1
71.5,25122.0,2.43,59.7,1
16.4,13114.0,3.53,68.9,0
38.7,43667.0,1.74,66.7,1
86.0,22820.0,1.88,65.7,0
12.1,26226.0,4.05,31.3,1
83.3,18602.0,2.51,25.3,1
35.4,30055.0,4.09,61.9,0
20.6,9013.0,4.2,42.1,1
72.7,20163.0,4.36,45.9,1
66.6,48501.0,4.62,21.9,1
89.0,13649.0,2.44,35.6,1
76.2,33180.0,1.93,22.0,1
82.3,16934.0,3.12,72.8,0
35.4,38900.0,2.17,34.6,0
26.0,7413.0,3.2,53.4,1
77.6,48521.0,3.68,22.3,1
82.6,23236.0,3.6,60.0,1
99.1,12566.0,2.19,39.4,1
47.1,4601.0,1.25,73.9,0
43.5,9318.0,2.44,73.3,0
79.9,26469.0,1.14,39.5,1
40.7,17513.0,4.51,74.1,0
93.8,41615.0,2.06,79.8,0
87.3,22113.0,1.2,69.5,0
48.6,13187.0,0.61,70.7,1
77.6,31240.0,3.41,34.9,1
77.9,35632.0,3.37,54.6,1
19.3,9185.0,2.03,24.0,1
91.2,9213.0,0.82,25.7,1
55.5,2797.0,2.34,79.9,0
84.4,37084.0,1.9,39.6,1
38.8,33526.0,3.55,64.9,0
90.6,24257.0,3.23,68.4,0
45.0,42364.0,2.14,71.5,0
11.0,40478.0,1.48,79.9,1
91.5,29682.0,4.95,34.5,1
18.2,43545.0,2.54,22.4,1
38.7,11086.0,3.6,44.7,1
95.5,6484.0,1.13,27.8,1
95.6,14218.0,2.69,21.3,1
61.6,3797.0,0.62,41.6,1
66.9,27027.0,2.77,67.0,0
50.4,46894.0,4.84,54.0,1
36.4,2928.0,2.23,38.8,1
39.6,6983.0,0.68,59.3,1
70.5,23158.0,0.64,33.9,1
77.7,46760.0,2.25,20.9,1
81.2,16492.0,1.22,65.9,1
81.1,25855.0,0.61,57.4,0
18.2,3037.0,3.9,65.7,0
54.5,8269.0,2.56,22.3,1
15.2,49345.0,1.8,70.2,1
59.5,48291.0,4.55,57.2,1
49.7,1242.0,1.02,53.8,1
89.9,47639.0,4.8,57.5,1
41.6,32317.0,1.91,71.9,1
20.5,43528.0,4.5,55.2,0
22.9,23282.0,3.21,54.9,0
78.5,26264.0,4.22,79.4,0
65.6,24953.0,4.93,65.4,0
19.1,33676.0,1.8,46.5,0
17.6,7843.0,4.83,62.4,1
73.1,2469.0,2.25,43.4,1
16.5,16089.0,2.23,33.7,1
84.0,35529.0,2.03,55.8,0
73.6,10891.0,2.94,75.7,0
17.3,33998.0,1.19,75.7,1
17.6,48526.0,2.99,40.5,1
98.8,5601.0,2.94,51.7,0
43.7,33958.0,3.93,32.7,1
43.4,22744.0,4.25,79.7,0
83.2,43539.0,2.48,78.9,0
95.3,9680.0,1.86,59.0,0
98.7,34939.0,1.67,68.3,1
77.8,42068.0,1.38,62.9,0
43.9,47286.0,0.76,55.6,1
17.5,34479.0,2.04,23.2,1
79.9,25362.0,1.72,47.3,1
60.3,31275.0,4.85,60.5,0
48.2,43576.0,3.01,60.7,0
91.6,28960.0,2.06,42.4,1
20.0,2489.0,3.11,76.5,0
54.3,46616.0,1.13,30.0,1
11.0,34787.0,2.5,50.0,1
52.2,34149.0,3.32,61.5,1
15.1,11568.0,2.7,61.8,0
20.7,33285.0,2.31,58.9,1
20.6,20299.0,4.97,36.5,1
68.4,32910.0,4.46,29.4,1
77.1,6223.0,3.31,58.2,0
62.5,33234.0,3.06,56.0,1
96.6,49971.0,3.29,30.8,1
43.7,3362.0,1.41,62.3,0
35.7,48882.0,2.28,47.3,1
88.2,20938.0,0.68,60.1,1
30.1,43667.0,2.64,70.2,0
96.7,39337.0,2.94,30.2,1
11.1,28784.0,1.52,21.1,1
97.3,37184.0,4.84,66.7,0
13.9,44047.0,4.59,56.6,1
90.2,20803.0,3.75,62.0,0
57.5,17025.0,2.9,70.3,0
99.4,33712.0,4.41,68.2,0
16.6,40584.0,1.09,77.7,0
59.8,38352.0,4.06,52.2,1
97.2,40093.0,1.06,49.3,1
57.1,22344.0,4.07,44.1,1
66.6,41074.0,1.74,29.2,1
72.6,6890.0,4.45,54.4,0
50.9,27680.0,4.75,36.6,1
66.5,1282.0,1.17,75.3,0
62.6,16905.0,2.58,55.0,1
91.1,18957.0,4.91,55.6,0
14.1,20412.0,2.68,41.3,1
35.3,35078.0,4.39,23.1,1
95.5,20039.0,3.15,21.9,1
90.1,22986.0,2.19,45.4,1
51.0,12640.0,1.79,25.1,1
65.8,19289.0,1.41,56.4,0
35.0,12136.0,3.93,72.9,0
26.9,4587.0,2.24,73.0,0
51.7,30569.0,2.8,59.5,0
41.8,33742.0,2.72,32.7,1
62.5,31355.0,3.1,71.8,0
17.0,23711.0,4.4,73.2,0
97.7,19610.0,4.91,31.8,1
98.8,43303.0,2.33,64.2,1
72.8,26435.0,4.22,37.2,1
58.2,24480.0,3.94,68.2,0
37.9,2256.0,3.08,79.8,0
83.2,17721.0,4.8,21.8,1
71.6,19630.0,1.4,73.8,0
24.6,20542.0,0.99,57.4,1
92.0,29428.0,4.34,78.4,0
84.0,27147.0,2.48,47.9,1
95.5,30787.0,4.31,70.8,0
75.3,38479.0,4.52,23.7,1
65.2,40836.0,0.78,40.1,1
47.6,36188.0,4.48,24.0,1
93.9,47821.0,2.52,78.5,1
87.9,1893.0,2.8,69.0,0
14.1,10593.0,3.32,71.2,0
12.4,1371.0,4.67,76.3,0
43.9,32726.0,0.59,25.1,1
82.9,45003.0,2.65,43.1,1
98.9,12931.0,3.59,24.3,1
23.5,46425.0,3.75,32.6,1
63.5,3953.0,3.62,33.8,0
44.3,46787.0,1.1,48.1,1
97.3,18230.0,1.85,36.1,0
85.8,5970.0,2.11,26.1,1
85.4,24808.0,4.12,30.0,1
52.2,13582.0,1.75,28.8,1
47.3,14959.0,1.45,78.4,0
34.6,16057.0,4.81,65.6,0
15.1,40348.0,0.54,78.1,0
87.8,27419.0,4.99,46.4,1
83.2,16254.0,3.55,36.7,1
100.0,30906.0,4.23,67.9,1
99.7,36091.0,1.83,39.6,1
60.0,14359.0,0.56,38.0,1
79.2,21264.0,3.82,34.0,1
95.0,6972.0,4.25,27.8,1
86.5,9876.0,3.83,35.4,1
32.3,34375.0,1.14,41.3,1
50.5,9890.0,3.89,60.4,1
21.6,26733.0,3.96,23.8,1
95.9,35743.0,3.46,32.6,1
64.6,6237.0,3.95,68.5,0
30.6,28798.0,4.31,28.8,1
70.5,13572.0,3.26,40.6,1
65.6,48183.0,0.9,71.9,1
42.2,24694.0,2.69,29.3,1
20.2,40494.0,0.85,25.0,1
70.4,27961.0,2.33,49.1,1
56.8,3127.0,2.33,38.1,1
79.5,32024.0,0.8,53.8,0
56.8,47619.0,2.07,68.2,0
86.7,30479.0,1.0,28.2,1
59.7,41140.0,4.14,54.8,1
60.5,44326.0,4.76,50.3,0
88.9,12176.0,0.83,28.6,1
46.3,11390.0,4.8,57.4,0
22.1,30938.0,2.85,36.4,1
12.6,21140.0,1.85,49.3,1
78.0,42153.0,0.85,24.9,1
65.8,45101.0,2.75,47.6,0
73.4,18318.0,4.08,38.4,1
29.2,12607.0,3.68,69.3,0
22.3,39246.0,0.73,23.4,1
11.3,14465.0,0.83,45.1,1
41.6,41308.0,2.31,47.5,1
63.1,21763.0,1.83,63.5,0
45.3,33710.0,1.55,54.5,1
49.4,5681.0,1.76,60.0,1
91.4,31569.0,4.12,66.6,1
41.3,23137.0,4.68,71.7,0
56.3,29744.0,2.32,38.8,1
80.5,9233.0,4.58,52.3,0
45.7,37107.0,1.95,70.4,1
66.0,43277.0,2.64,79.4,0
87.6,11620.0,1.52,73.4,0
95.5,5690.0,3.38,42.3,1
23.2,2158.0,4.91,31.7,1
93.4,32457.0,3.22,49.4,1
54.3,30748.0,2.11,64.5,0
33.2,27788.0,3.42,49.6,1
51.3,12365.0,1.05,49.0,0
98.2,20154.0,4.5,70.3,0
54.3,30129.0,2.76,41.7,1
39.6,25342.0,2.52,71.6,0
67.0,49401.0,3.14,44.4,1
31.6,7686.0,3.31,39.7,0
16.8,35062.0,0.82,47.2,1
21.6,20812.0,3.57,65.7,1
21.5,21982.0,1.59,27.6,1
23.7,36162.0,3.71,31.8,1
22.5,34929.0,4.2,77.1,0
67.7,49572.0,4.12,30.5,1
26.4,7291.0,2.99,54.1,0
41.1,6101.0,2.84,54.8,1
90.7,36493.0,1.14,49.4,1
52.7,29341.0,3.99,58.7,0
70.1,14434.0,1.72,33.8,1
25.5,4892.0,2.74,53.2,1
27.3,5197.0,1.78,42.3,1
13.7,44815.0,1.1,59.7,1
25.2,10401.0,3.33,28.5,1
35.1,16845.0,0.74,54.3,0
25.9,12106.0,3.87,31.1,0
18.0,18395.0,1.93,36.7,1
20.9,4402.0,0.5,33.1,1
51.5,26434.0,2.8,31.0,1
28.6,4313.0,0.71,69.5,0
42.8,40217.0,1.74,37.1,1
55.3,12452.0,3.68,75.6,0
72.1,27461.0,0.78,78.2,0
13.5,44124.0,4.28,54.3,1
81.9,32893.0,0.52,28.6,1
66.5,27115.0,1.61,42.5,1
17.4,16892.0,3.83,67.9,1
88.6,17317.0,1.92,42.0,1
92.9,33805.0,0.96,25.2,1
15.5,49713.0,2.12,53.4,1
34.9,33430.0,1.72,70.7,0
82.6,28331.0,4.29,67.8,0
77.3,36802.0,1.91,30.5,1
26.6,23795.0,4.05,60.4,0
28.8,3947.0,4.51,33.2,0
43.3,28553.0,2.45,33.1,1
53.6,47924.0,4.59,72.4,0
65.6,9590.0,2.2,35.0,0
43.2,34810.0,4.84,35.8,1
51.6,10846.0,0.9,20.0,1
77.3,27256.0,3.59,72.2,0
13.3,5737.0,2.72,67.6,0
32.7,23068.0,2.24,57.6,0
74.2,38052.0,3.35,65.0,1
90.6,18031.0,3.67,29.1,1
56.1,33581.0,0.52,47.5,1
57.9,39977.0,1.25,41.1,1
19.6,46432.0,3.71,25.6,1
50.3,12497.0,3.5,49.2,0
57.9,20566.0,4.85,75.2,0
31.8,8468.0,3.92,22.4,1
34.2,49632.0,4.78,37.5,1
44.0,46423.0,3.66,32.5,1
11.8,27458.0,1.84,34.3,0
39.0,42260.0,0.97,74.5,1
29.0,26527.0,4.02,48.1,0
39.5,31556.0,3.4,48.0,1
20.8,5367.0,0.72,65.6,0
90.1,38008.0,2.12,29.3,1
63.4,7258.0,4.81,49.2,0
71.1,41477.0,2.75,45.8,1
81.0,39319.0,2.45,55.8,0
54.9,35728.0,2.56,80.0,0
17.8,2772.0,1.44,66.2,1
58.3,15853.0,2.16,43.9,1
62.8,13893.0,2.16,69.7,0
77.1,18647.0,0.74,30.2,1
48.8,5294.0,3.95,21.8,1
21.5,46911.0,2.37,32.3,1
35.5,28136.0,4.2,40.4,0
42.7,15971.0,4.33,50.6,0
68.1,20452.0,1.45,56.9,1
61.4,22913.0,3.46,74.6,0
42.0,30429.0,2.63,50.6,1
98.8,26268.0,4.46,50.1,0
64.5,46050.0,1.47,23.0,1
31.4,25351.0,3.55,22.1,1
19.2,49616.0,3.23,53.1,0
23.8,42720.0,1.83,46.3,1
32.1,11217.0,1.11,70.4,1
24.5,46599.0,3.43,29.6,1
26.8,6702.0,3.82,21.5,1
35.7,41055.0,1.92,46.9,1
25.6,19651.0,3.4,34.2,1
90.7,44021.0,2.28,23.0,1
17.2,43535.0,3.71,63.5,0
57.2,40490.0,1.4,26.7,1
46.9,39711.0,4.51,56.5,1
98.4,15929.0,1.79,36.9,0
20.1,4965.0,2.16,30.4,1
45.8,20746.0,0.76,42.8,0
97.3,9503.0,1.0,68.1,0
87.9,35053.0,2.82,43.5,1
83.5,17959.0,1.7,65.0,1
33.2,48805.0,4.26,27.5,1
25.4,32408.0,0.57,66.4,0
70.2,41302.0,2.21,34.2,1
93.6,7494.0,2.02,60.6,0
60.1,43239.0,0.59,53.9,1
61.4,46215.0,1.06,75.7,1
35.2,24866.0,2.36,43.2,1
79.3,30706.0,2.72,24.0,1
26.8,38476.0,2.32,21.1,1
39.1,9567.0,2.89,69.6,0
48.3,25626.0,3.18,51.5,1
55.7,20534.0,0.54,66.5,0
31.8,8172.0,2.59,34.1,1
20.3,19009.0,4.84,40.7,1
65.0,4340.0,2.84,21.8,1
36.0,2265.0,3.55,77.7,0
62.3,7623.0,1.9,60.1,0
23.9,48193.0,3.98,76.0,1
53.3,27927.0,3.98,35.9,0
57.9,48325.0,2.85,56.7,1
14.7,22192.0,4.89,60.7,1
40.3,16279.0,1.06,39.1,1
22.1,25801.0,0.58,70.9,0
15.7,22536.0,3.97,76.8,0
99.1,6178.0,4.13,73.1,0
39.0,32400.0,1.04,64.3,0
82.9,11586.0,1.7,36.6,1
32.9,31360.0,0.58,36.9,1
71.3,32860.0,1.82,77.8,0
78.4,8449.0,3.98,20.6,1
63.6,4006.0,2.83,63.0,0
52.4,39257.0,2.07,62.4,1
47.1,23530.0,2.17,57.4,0
41.4,3850.0,0.51,79.4,0
93.7,49748.0,1.85,38.7,1
84.8,3831.0,3.41,40.4,1
96.9,35057.0,4.88,24.7,0
21.2,49200.0,4.31,46.6,1
75.8,12720.0,0.61,35.7,0
94.5,7970.0,4.54,40.6,1
26.3,6948.0,4.02,70.1,1
16.0,15860.0,4.01,76.1,0
76.7,5951.0,2.56,31.1,1
61.7,34916.0,2.29,42.4,1
85.8,4052.0,1.86,75.7,1
22.6,25962.0,0.8,23.7,1
81.6,49838.0,1.53,25.5,1
28.1,40885.0,1.61,29.8,1
24.7,31146.0,2.68,55.7,1
24.8,16006.0,3.86,29.0,1
83.3,31571.0,2.63,78.1,1
69.9,26825.0,0.76,46.8,1
